Cystitis_Urethritis	A54
HIV	B20
Esophageal_Cancer Esophageal adenocarcinoma	C15
Lung_Cancer	C34
Non-Melanoma_Skin_Cancer	C44
Benign_Skin_Neoplasm	D23
Type_I_Diabetes_Mellitus	E10
Type_II_Diabetes_Mellitus	E11
Obesity	E66
Degenerative_Dementia	F02
Substance_Abuse	F19
Schizophrenia_Related_Psychosis	F23
Bipolar_Disorder	F31
Depression	F32
Mood_Disorder	F34
Anxiety_Phobic_Disorder	F40
OCD	F42
Adjustment_Disorder	F43.2
PTSD	F43.1
Eating_Disorder	F50
Personality_Disorder	F60
Intellectual_Disability	F79
Learning_Disorder	F81
Autism	F84.0
Autism spectrum disorder	F84.0
ADHD	F90
Conduct_Disorder	F91
Tics_Tourettes	F95
Motor_Neuron_Disease	G12
Parkinsons_Disease	G20
Alzheimers_Disease	G30
Multiple_Sclerosis_Other_Demyelinating_Disease	G35
Epilepsy_Related_Disorders	G40
Migraine	G43
Sleep_Disorder	G47
Eye_Inflammation	H01
Macular_Degeneration	H35
General_Hypertension	I10
Non-Rheumatic_Heart_Disease	I35
Cardiac_Dysrhythmia	I49
Non-Specific_Cardiovascular_Disease	I51
Cerebrovascular_Disease	I67
Lymphatic_Disorder	I89
Allergic_Rhinitis	J30
Chronic_Sinusitis	J32
Asthma	J45
Upper_Respiratory_Inflammation	J68
Non-Specific_Gingival_Peridontal_Disorder	K05
Esophagitis	K20
Esophageal_Disease	K22
Gastritis_Duodenitis	K29
IBS_Crohns_Disease	K50
Ulcerative_Colitis	K51
Biliary_Tract_Disease	K83
Atopic_Contact_Dermatitis	L20
Psoriasis_Related_Disorders	L40
Rheumatoid_Arthritis_Related_Conditions	M06
Osteoarthritis	M19
Lupus_Erythematosus	M32
Inflammatory_Spondylopathies	M46
Fasciitis	M72
Osteoporosis	Q78
Non-Specific_Pain	R52
Stuttering	
