ICD	hcluster_embed	kcluster_embed	dtcluster_embed	dtcolor_embed
A00	1	1	13	salmon
A01	1	1	13	salmon
A02	1	1	13	salmon
A03	1	1	13	salmon
A04	2	1	10	purple
A05	3	1	2	blue
A07	1	2	13	salmon
A08	2	1	10	purple
A09	4	3	3	brown
A15	3	4	12	tan
A16	3	4	12	tan
A17	5	5	1	turquoise
A19	3	1	2	blue
A20	3	1	2	blue
A21	3	1	2	blue
A22	3	1	2	blue
A23	3	1	2	blue
A24	3	1	2	blue
A25	3	1	2	blue
A27	3	1	2	blue
A28	3	1	2	blue
A30	3	1	2	blue
A31	3	1	2	blue
A33	3	1	2	blue
A34	3	5	2	blue
A36	3	1	2	blue
A37	3	4	12	tan
A38	3	6	2	blue
A39	3	1	2	blue
A40	3	1	2	blue
A41	3	1	2	blue
A42	3	1	2	blue
A43	3	1	2	blue
A44	3	1	2	blue
A46	1	6	18	lightgreen
A48	3	1	2	blue
A49	3	1	2	blue
A50	3	1	2	blue
A51	3	1	2	blue
A52	3	1	2	blue
A53	3	1	2	blue
A54	3	1	2	blue
A55	3	1	2	blue
A56	3	1	2	blue
A57	3	6	2	blue
A58	3	6	2	blue
A60	3	1	2	blue
A63	3	1	2	blue
A64	3	1	2	blue
A65	3	1	2	blue
A66	3	1	2	blue
A67	3	1	2	blue
A68	6	5	16	lightcyan
A69	3	1	2	blue
A70	3	1	2	blue
A71	7	1	17	grey60
A74	3	1	2	blue
A75	3	1	2	blue
A77	3	1	2	blue
A78	3	1	2	blue
A79	3	1	2	blue
A81	5	5	1	turquoise
A82	5	5	1	turquoise
A83	5	5	1	turquoise
A84	5	5	1	turquoise
A85	5	5	1	turquoise
A86	5	5	1	turquoise
A87	5	5	1	turquoise
A88	5	5	1	turquoise
A89	5	5	1	turquoise
A90	3	5	2	blue
A91	3	1	2	blue
A92	3	5	2	blue
A93	3	5	2	blue
A94	3	5	2	blue
A95	3	1	2	blue
A96	3	5	2	blue
A97	3	5	2	blue
A98	3	5	2	blue
A99	3	5	2	blue
B00	3	1	2	blue
B01	3	5	2	blue
B02	3	6	2	blue
B03	3	5	2	blue
B04	3	5	2	blue
B05	3	5	2	blue
B06	3	5	2	blue
B08	3	1	2	blue
B09	3	1	2	blue
B10	3	5	2	blue
B15	8	4	5	green
B16	8	5	5	green
B17	8	5	5	green
B18	8	5	5	green
B19	8	5	5	green
B20	1	5	13	salmon
B21	1	1	4	yellow
B22	1	1	13	salmon
B23	1	1	13	salmon
B24	1	1	13	salmon
B25	3	5	2	blue
B27	3	5	2	blue
B30	7	5	17	grey60
B33	3	5	2	blue
B34	3	5	2	blue
B35	3	1	2	blue
B36	3	1	2	blue
B37	3	1	2	blue
B39	3	1	2	blue
B42	3	1	2	blue
B43	3	1	2	blue
B44	3	1	2	blue
B45	3	1	2	blue
B46	3	1	2	blue
B47	3	1	2	blue
B48	3	1	2	blue
B49	3	1	2	blue
B51	1	2	13	salmon
B52	1	2	14	cyan
B55	1	2	13	salmon
B56	1	2	13	salmon
B57	1	2	13	salmon
B58	1	2	13	salmon
B59	3	4	12	tan
B60	1	2	13	salmon
B64	1	2	13	salmon
B66	1	2	13	salmon
B67	1	2	13	salmon
B68	1	2	13	salmon
B70	1	2	13	salmon
B71	1	2	13	salmon
B72	1	2	13	salmon
B73	1	2	13	salmon
B74	1	2	13	salmon
B75	1	2	13	salmon
B76	1	2	13	salmon
B77	1	2	13	salmon
B78	1	2	13	salmon
B81	1	2	13	salmon
B82	1	2	13	salmon
B83	1	2	13	salmon
B85	1	2	13	salmon
B86	1	6	18	lightgreen
B87	1	2	13	salmon
B88	1	2	13	salmon
B89	1	2	13	salmon
B90	5	7	1	turquoise
B91	5	5	1	turquoise
B92	5	6	1	turquoise
B94	5	7	1	turquoise
B95	3	1	2	blue
B96	3	1	2	blue
B97	3	5	2	blue
C00	1	8	4	yellow
C01	1	8	4	yellow
C02	1	8	4	yellow
C03	1	8	4	yellow
C04	1	8	4	yellow
C05	1	8	4	yellow
C06	1	8	4	yellow
C07	1	8	4	yellow
C08	1	8	4	yellow
C09	2	8	10	purple
C10	1	8	4	yellow
C11	1	8	4	yellow
C12	1	8	4	yellow
C13	1	8	4	yellow
C14	1	8	4	yellow
C15	1	8	4	yellow
